General Fund Level            	100-001-001                       
Fire Prot Dist No. 18 Fund Lev	415-001-001                       
Fire Prot Dist No. 18         	415-320-001                       
Fire Prot Dist No. 28 Fund Lev	416-001-001                       
Fire Prot Dist No. 28         	416-320-001                       
Whitsett FD Fund Level        	417-001-001                       
Whitsett Fire Prot Dist       	417-320-001                       
Mt Hope Com FD Fund Level     	418-001-001                       
Mt Hope Com Fire Prot Dist    	418-320-001                       
Climax Fire Dist Fund Level   	419-001-001                       
Climax Fire Prot Dist         	419-320-001                       
Southeast FD Fund Level       	420-001-001                       
Southeast Fire Prot Dist      	420-320-001                       
Julian Fire Dist Fund Level   	421-001-001                       
Julian Vol Fire Prot Dist     	421-320-001                       
Fire Prot Ser Dist 1 Fund Levl	422-001-001                       
Fire Prot Service Dist No. 1  	422-320-001                       
Julian FPSD Fund Level        	423-001-001                       
Julian Fire Prot Ser Dist     	423-320-001                       
Southeast  FPSD Fund Level    	424-001-001                       
Southeast Fire Prot Ser Dist  	424-320-001                       
PTIA FPSD Fund Level          	425-001-001                       
PTIA Fire Prot Ser Dist       	425-320-001                       
Alamance FPSD Fund Level      	426-001-001                       
Alamance Fire Prot Ser Dist   	426-320-001                       
Climax FPSD Fund Level        	427-001-001                       
Climax Fire Prot Ser Dist     	427-320-001                       
Colfax FPSD Fund Level        	428-001-001                       
Colfax Fire Prot Ser Dist     	428-320-001                       
Deep River FPSD Fund Level    	429-001-001                       
Deep River Fire Prot Ser Dist 	429-320-001                       
Fire Dist 14 FPSD Fund Level  	430-001-001                       
Fire Dist 14 Fire Prot Ser Dis	430-320-001                       
Guil-Rand FPSD Fund Level     	431-001-001                       
Guil-Rand Fire Prot Ser Dist  	431-320-001                       
McLeansville FPSD Fund Level  	432-001-001                       
McLeansville Fire Prot Ser Dis	432-320-001                       
Mount Hope FPSD Fund Level    	433-001-001                       
Mount Hope Fire Prot Ser Dist 	433-320-001                       
Oak Ridge FPSD Fund Level     	434-001-001                       
Oak Ridge FireProt Ser Dist   	434-320-001                       
Pcroft-Sdgfld FPSD Fund Level 	435-001-001                       
Pcroft-Sdgfld Fire Prot Ser Ds	435-320-001                       
Plst Garden FPSD Fund Level   	436-001-001                       
Plst Garden Fire Prot Ser Dist	436-320-001                       
Fire Dist 13 FPSD Fund Level  	437-001-001                       
Fire Dist 13 Fire Prot Ser Dis	437-320-001                       
Stokesdale FPSD Fund Level    	438-001-001                       
Stokesdale Fire Prot Ser Dist 	438-320-001                       
Summerfield FPSD Fund Level   	439-001-001                       
Summerfield Fire Prot Ser Dist	439-320-001                       
Whitsett FPSD Fund Level      	440-001-001                       
Whitsett Fire Prot Ser Dist   	440-320-001                       
Fire District 28 FPSD         	441-001-001                       
Fire Dist 28 FPSD             	441-320-001                       
Northeast FPSD Fund Level     	442-001-001                       
Northeast FPSD                	442-320-001                       
Guilford College FPSD Fund Lev	443-001-001                       
Guilford College Fire Prot Ser	443-320-001                       
Room Occ/Tour Dev Tax Fund Lev	450-001-001                       
Room Occupancy/Tourism Dev Tax	450-650-001                       
Emergency Tele System Fund Lev	455-001-001                       
Hard Wire Telephone Service   	455-320-010                       
Wireless Telephone Service    	455-320-020                       
Community Development Fund Lev	495-001-001                       
Affordable Housing Funds      	495-610-010                       
Scattered Site Housing Funds  	495-610-020                       
Water & Sewer Funds           	495-650-010                       
County Bldg Construct Fund Lev	500-001-001                       
Other Genl Government Projects	500-100-099                       
Public Health Projects        	500-200-010                       
Mental Health Projects        	500-200-020                       
Social Services Projects      	500-200-030                       
Law Enforcement Projects      	500-300-010                       
Emergency Services Projects   	500-300-020                       
Animal Services               	500-300-030                       
Sanitation Projects           	500-400-010                       
Greensboro                    	500-430-010                       
Greensboro - Retention Ponds  	500-430-011                       
High Point                    	500-430-020                       
High Point - Retention Ponds  	500-430-021                       
Other                         	500-430-060                       
Guilford County Board Of Educ 	500-520-010                       
Burlington/Gibsonville        	500-520-020                       
Greensboro                    	500-520-030                       
Greensboro - DOT Grant        	500-520-031                       
Greensboro - ARRA 2009        	500-520-032                       
Greensboro - STP-DA           	500-520-033                       
High Point                    	500-520-040                       
Forsyth County                	500-520-050                       
Other                         	500-520-060                       
Other Stimulus Grant          	500-520-061                       
Economic Development Proj     	500-660-010                       
Water Bond Fund Level         	510-001-001                       
Water Bond                    	510-820-001                       
Sewer Bond Fund Level         	511-001-001                       
Sewer Bond                    	511-821-001                       
Jnt Water Sewer Trust Fund Lev	512-001-001                       
Archdale Water & Sewer        	512-822-010                       
Gibsonville Water & Sewer     	512-822-020                       
Greensboro Water & Sewer      	512-822-030                       
Guilford Water  Sewer         	512-822-040                       
High Point Water & Sewer      	512-822-050                       
Jamestown Water & Sewer       	512-822-060                       
Water Sewer Construct Fund Lev	515-001-001                       
Archdale                      	515-820-010                       
Gibsonville                   	515-820-020                       
Greensboro                    	515-820-030                       
Guilford                      	515-820-040                       
High Point                    	515-820-050                       
Jamestown                     	515-820-060                       
Archdale                      	515-821-010                       
Gibsonville                   	515-821-020                       
Greensboro                    	515-821-030                       
Guilford                      	515-821-040                       
High Point                    	515-821-050                       
Jamestown                     	515-821-060                       
School Captl Outlay Fund Level	520-001-001                       
Guilford County Board of Educ 	520-710-010                       
Guilford Tech Comm College    	520-710-070                       
Law Enf Off Spec Sep Allow    	600-001-001                       
OPEB Trust                    	601-001-001                       
City of Greensboro Tax        	700-001-001                       
City of High Point Tax        	701-001-001                       
Town of Jamestown Tax         	702-001-001                       
Town of Summerfield Tax       	703-001-001                       
Town of Oak Ridge Tax         	704-001-001                       
Town of Sedalia Tax           	705-001-001                       
Town of Gibsonville Tax       	706-001-001                       
Town of Stokesdale Tax        	707-001-001                       
Town of Pleasant Garden Tax   	708-001-001                       
Town of Whitsett Tax          	709-001-001                       
Sedgefield Sanitary Dist Tax  	710-001-001                       
Town of Archdale Tax          	711-001-001                       
City of Burlington Tax        	712-001-001                       
City of Kernersville Tax      	713-001-001                       
Piedmont Authority Regn Trans 	720-001-001                       
Fines and Forfeitures         	730-001-001                       
DSS Representative Payee      	740-001-001                       
MH Representative Payee       	741-001-001                       
Inmate Trust Fund             	742-001-001                       
NC Treasurers Vehicle Interest	750-001-001                       
G/G Tourism Dev Auth Tax      	790-001-001                       
Pooled Cash and Investments   	950-001-001                       
Gov Act Conversion Fund Level 	980-001-001                       
General Fund Level            	980-001-010                       
Cnty Bldg Construct Fund Level	980-001-050                       
County Building Construct Fund	980-100-050                       
General Fund                  	980-101-010                       
General Fund                  	980-102-010                       
General Fund                  	980-105-010                       
General Fund                  	980-110-010                       
General Fund                  	980-115-010                       
General Fund                  	980-120-010                       
General Fund                  	980-125-010                       
General Fund                  	980-130-010                       
General Fund                  	980-135-010                       
General Fund                  	980-140-010                       
General Fund                  	980-145-010                       
General Fund                  	980-150-010                       
General Fund                  	980-155-010                       
General Fund                  	980-160-010                       
General Fund                  	980-165-010                       
General Fund                  	980-170-010                       
General Fund                  	980-175-010                       
General Fund                  	980-180-010                       
General Fund                  	980-185-010                       
Property Management           	980-186-010                       
General Fund                  	980-190-010                       
Fleet Operation               	980-191-010                       
Internal Services Fund        	980-195-020                       
Internal Services Fund        	980-197-020                       
County Building Construct Fund	980-200-050                       
General Fund                  	980-210-010                       
General Fund                  	980-220-010                       
General Fund                  	980-230-010                       
General Fund                  	980-231-010                       
General Fund                  	980-232-010                       
General Fund                  	980-233-010                       
General Fund                  	980-240-010                       
General Fund                  	980-250-010                       
General Fund                  	980-285-010                       
General Fund                  	980-290-010                       
General Fund                  	980-295-010                       
County Building Construct Fund	980-300-050                       
General Fund                  	980-310-010                       
General Fund                  	980-320-010                       
Rural Fire Districts Funds    	980-320-040                       
Emergency Telephone Systm Fund	980-320-045                       
General Fund                  	980-330-010                       
General Fund                  	980-340-010                       
General Fund                  	980-350-010                       
General Fund                  	980-370-010                       
General Fund                  	980-390-010                       
County Building Construct Fund	980-400-050                       
General Fund                  	980-410-010                       
General Fund                  	980-420-010                       
County Building Construct Fund	980-500-050                       
General Fund                  	980-510-010                       
County Building Construct Fund	980-600-050                       
Community Development Fund    	980-610-049                       
General Fund                  	980-650-010                       
Room Occ/Tourism Dev Tax Fund 	980-650-045                       
Community Development Fund    	980-650-049                       
General Fund                  	980-710-010                       
School Capital Outlay Fund    	980-710-052                       
General Fund                  	980-810-010                       
Water Bond Fund               	980-820-051                       
Water & Sewer Constructn Fund 	980-820-052                       
Sewer Bond Fund               	980-821-051                       
Water & Sewer Constructn Fund 	980-821-052                       
Joint Water Sewer Trust Fund  	980-822-051                       
General Fund                  	980-910-010                       
Debt Service Fund             	980-910-015                       
Busi Act Conversion Fund Level	990-001-001                       
