Fund-AU	DESCRIPTION
436-001        	Plst Garden FPSD Fund Level   
436-320        	Emergency Services            
437-001        	Fire Dist 13 FPSD Fund Level  
437-320        	Emergency Services            
438-001        	Stokesdale FPSD Fund Level    
438-320        	Emergency Services            
439-001        	Summerfield FPSD Fund Level   
439-320        	Emergency Services            
440-001        	Whitsett FPSD Fund Level      
440-320        	Emergency Services            
441-001        	Fire District 28 FPSD         
441-320        	Emergency Services            
442-001        	Northeast FPSD Fund Level     
442-320        	Emergency Services            
443-001        	Guilford College FPSD Fund Lev
443-320        	Emergency Services            
450-001        	Room Occ/Tour Dev Tax Fund Lev
450-650        	Economic Devel & Assistance   
455-001        	Emergency Tele System Fund Lev
455-320        	Emergency Services            
495-001        	Community Development Fund Lev
495-610        	Urban Redevelopment & Housing 
495-650        	Economic Devel & Assistance   
500-001        	County Bldg Construct Fund Lev
500-100        	General Government Projects   
500-200        	Human Services Projects       
500-300        	Public Safety Projects        
500-400        	Environmental Protection Projs
500-430        	Environ Protect-Watershed Proj
500-520        	Culture-Recreatn-Open Space Pr
500-660        	Economic Develop & Assist Proj
510-001        	Water Bond Fund Level         
510-820        	Water                         
511-001        	Sewer Bond Fund Level         
511-821        	Sanitary Sewer                
512-001        	Jnt Water Sewer Trust Fund Lev
512-822        	Water And Sewer               
515-001        	Water Sewer Construct Fund Lev
515-820        	Water                         
515-821        	Sanitary Sewer                
520-001        	School Captl Outlay Fund Level
520-710        	Education                     
600-001        	Law Enf Off Spec Sep Allow    
601-001        	OPEB Trust                    
700-001        	City of Greensboro Tax        
701-001        	City of High Point Tax        
702-001        	Town of Jamestown Tax         
703-001        	Town of Summerfield Tax       
704-001        	Town of Oak Ridge Tax         
705-001        	Town of Sedalia Tax           
706-001        	Town of Gibsonville Tax       
707-001        	Town of Stokesdale Tax        
708-001        	Town of Pleasant Garden Tax   
709-001        	Town of Whitsett Tax          
710-001        	Sedgefield Sanitary Dist Tax  
711-001        	Town of Archdale Tax          
712-001        	City of Burlington Tax        
713-001        	City of Kernersville Tax      
720-001        	Piedmont Authority Regn Trans 
730-001        	Fines and Forfeitures         
740-001        	DSS Representative Payee      
741-001        	MH Representative Payee       
742-001        	Inmate Trust Fund             
750-001        	NC Treasurers Vehicle Interest
790-001        	G/G Tourism Dev Auth Tax      
950-001        	Pooled Cash and Investments   
980-001        	Gov Act Conversion Fund Level 
980-100        	General Government Projects   
980-101        	County Commissioners          
980-102        	Clerk to the Board            
980-105        	County Administration         
980-110        	County Attorney               
980-115        	Human Resources               
980-120        	Budget and Management         
980-125        	Internal Audit                
980-130        	Finance                       
980-135        	Purchasing                    
980-140        	Information Services          
980-145        	Tax                           
980-150        	Register of Deeds             
980-155        	Elections                     
980-160        	Planning and Development      
980-165        	Community & Economic Dev      
980-170        	Geographic Information System 
980-175        	Facilities                    
980-180        	Security                      
980-185        	Property Mgmt / Courts        
980-186        	Property Management           
980-190        	Parking and Fleet Operation   
980-191        	Fleet Operation               
980-195        	Risk Retention-Liab/Prop/WC   
980-197        	Health Care & Wellness        
980-200        	Human Services Projects       
980-210        	Public Health                 
980-220        	Mental Health                 
980-230        	Social Services               
980-231        	Special Assistance to Adults  
980-232        	Temp Asst Needy Families      
980-233        	Medical Assistance            
980-240        	Child Support Enforcement     
980-250        	Transportation-Human Serv     
980-285        	Veteran Services              
980-290        	Cooperative Extension Service 
980-295        	Coordinated Services          
980-300        	Public Safety Projects        
980-310        	Law Enforcement               
980-320        	Emergency Services            
980-330        	Inspections                   
980-340        	Court Alternatives            
980-350        	Family Justice Center         
980-370        	Animal Services               
980-390        	Other Protection              
980-400        	Environmental Protect Projects
980-410        	Sanitation                    
980-420        	Soil & Water Conservation     
980-500        	Culture-Recreation Projects   
980-510        	Culture-Recreation            
980-600        	Economic Develop & Assist Proj
980-610        	Urban Redev & Housing         
980-650        	Economic Devel & Assistance   
980-710        	Education                     
980-810        	Capital Outlay                
980-820        	Water                         
980-821        	Sanitary Sewer                
980-822        	Water and Sewer               
980-910        	Debt Service                  
990-001        	Busi Act Conversion Fund Level
