Service #,Service Name,Fund #,Fund,Fund- # & Name,Dept #,Dept Name,SubDept#,SubDept Name,Service Area,Type,Acct #,Acct Name,Acct Cat,AU All,budgetType,Amount,Year,PerCapita
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49499,Miscellaneous Refunds,Other,150210-49499,adopted,-360,2013,-0.0007174001419
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,43201,Marriage Licenses,User Charges,150510-43201,adopted,-6599,2013,-0.01315034316
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,45102,Register of Deeds Fees,User Charges,150510-45102,adopted,-175842,2013,-0.3504140993
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,47101,Appropriated Fund Balance,Fund Balance,150510-47101,adopted,-36000,2013,-0.07174001419
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49101,Investment Earnings,Other,150510-49101,adopted,-7500,2013,-0.01494583629
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49309,Copies,Other,150510-49309,adopted,-50519,2013,-0.1006731605
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49399,Miscellaneous,Other,150510-49399,adopted,-100,2013,-0.0001992778172
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49499,Miscellaneous Refunds,Other,150510-49499,adopted,-100,2013,-0.0001992778172
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45101,Board of Election Filing Fees,User Charges,155002-45101,adopted,-2500,2013,-0.00498194543
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45210,Board of Elections Greensboro,User Charges,155002-45210,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45211,Board of Elections High Point,User Charges,155002-45211,adopted,-75000,2013,-0.1494583629
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45212,Board of Elections Jamestown,User Charges,155002-45212,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45213,Board of Elections Gibsonville,User Charges,155002-45213,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45216,Board of Elections Stokesdale,User Charges,155002-45216,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45217,Board of Elections Whitsett,User Charges,155002-45217,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45250,Board of Elections Summerfield,User Charges,155002-45250,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45251,Board of Elections Pleasant Garden,User Charges,155002-45251,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45252,Board of Elections Sedalia,User Charges,155002-45252,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45253,Board of Elections Oak Ridge,User Charges,155002-45253,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45254,Board of Elections Burlington,User Charges,155002-45254,adopted,0,2013,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,49301,Board of Elections Lists,Other,155002-49301,adopted,-2000,2013,-0.003985556344
155210,Elections - Training,100,General,100-General,155,Elections,20,Training,General Government,Revenue,47101,Appropriated Fund Balance,Fund Balance,155210-47101,adopted,-1357,2013,-0.002704199979
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45118,Site Plan Fees,User Charges,160110-45118,adopted,-3517,2013,-0.007008600831
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45119,Variance Fees,User Charges,160110-45119,adopted,-1200,2013,-0.002391333806
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45132,"Sale of Historic Books, Plaque",User Charges,160110-45132,adopted,-250,2013,-0.000498194543
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45133,Sale of Maps and Ordinances,User Charges,160110-45133,adopted,-100,2013,-0.0001992778172
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45134,Rezoning Fees,User Charges,160110-45134,adopted,-5100,2013,-0.01016316868
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45135,Plat and Site Evaluation Fees,User Charges,160110-45135,adopted,-5500,2013,-0.01096027995
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45136,Road/Easement Closing Fees,User Charges,160110-45136,adopted,-200,2013,-0.0003985556344
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45220,Historical Properties,User Charges,160110-45220,adopted,-6250,2013,-0.01245486357
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45245,Planning Service-Stokesdale,User Charges,160110-45245,adopted,-25000,2013,-0.0498194543
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45248,Planning Service-Whitsett,User Charges,160110-45248,adopted,-1000,2013,-0.001992778172
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45249,Planning Service-Pleasant Garden,User Charges,160110-45249,adopted,-5000,2013,-0.00996389086
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45260,Planning Service - Oak Ridge,User Charges,160110-45260,adopted,-15000,2013,-0.02989167258
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45261,Planning Service - Sedalia,User Charges,160110-45261,adopted,-1000,2013,-0.001992778172
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,49990,Miscellaneous,Other,160110-49990,adopted,-100,2013,-0.0001992778172
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49299,Miscellaneous Rent,Other,175110-49299,adopted,-550,2013,-0.001096027995
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49305,Property-Not Fixed Assets,Other,175110-49305,adopted,-300,2013,-0.0005978334516
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49403,Vending Commissions,Other,175110-49403,adopted,-63000,2013,-0.1255450248
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49469,Agency Providers Refunds,Other,175110-49469,adopted,0,2013,0
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49990,Miscellaneous,Other,175110-49990,adopted,-100,2013,-0.0001992778172
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49203,Agricultural Center,Other,175120-49203,adopted,-20574,2013,-0.04099941811
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49206,High Point Health Bldg,Other,175120-49206,adopted,-78000,2013,-0.1554366974
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49218,Jonesboro School,Federal & State Funds,175120-49218,adopted,-107520,2013,-0.214263509
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49227,SW Park Rental House,Federal & State Funds,175120-49227,adopted,-8100,2013,-0.01614150319
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49234,BB&T Building,Other,175120-49234,adopted,-114115,2013,-0.2274058811
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49236,US 220 North Rental House,Miscellaneous,175120-49236,adopted,-7200,2013,-0.01434800284
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49239,710 Huffine Mill Road,Other,175120-49239,adopted,0,2013,0
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49240,325 East Russell Avenue,Other,175120-49240,adopted,0,2013,0
175230,Fac Op - Sign Shop,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,45149,Building Fees,User Charges,175230-45149,adopted,-500,2013,-0.000996389086
175240,Fac Op - Prison Farm,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,49238,Prison Farm,Other,175240-49238,adopted,0,2013,0
175240,Fac Op - Prison Farm,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,49299,Miscellaneous Rent,Other,175240-49299,adopted,0,2013,0
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49202,Parking Areas -Greensboro,Other,175410-49202,adopted,-11600,2013,-0.02311622679
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49204,Parking Areas - High Point,Other,175410-49204,adopted,-70400,2013,-0.1402915833
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49207,Parking Areas - After Hours,Miscellaneous,175410-49207,adopted,-12225,2013,-0.02436171315
175510,Court Facility Fees,100,General,100-General,175,Facilities,50,Court,Support Services,Revenue,45109,Court Facilities Fees,User Charges,175510-45109,adopted,-935000,2013,-1.863247591
175510,Court Facility Fees,100,General,100-General,175,Facilities,50,Court,Support Services,Revenue,49223,High Point Courthouse,Other,175510-49223,adopted,-830,2013,-0.001654005883
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,45147,Building Security Fees,User Charges,180110-45147,adopted,-6000,2013,-0.01195666903
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49305,Property-Not Fixed Assets,Other,180110-49305,adopted,0,2013,0
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49399,Miscellaneous,Other,180110-49399,adopted,-10200,2013,-0.02032633735
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49499,Miscellaneous Refunds,Other,180110-49499,adopted,0,2013,0
191110,Fleet Operation,100,General,100-General,191,Fleet Operation,10,Fleet Operation,Support Services,Revenue,48501,Sale of Capital Assets,Other,191110-48501,adopted,-36000,2013,-0.07174001419
195002,Internal Services Fund Level,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,2,Administration,Internal Service Fund,Revenue,45189,Insurance,User Charges,195002-45189,adopted,-95214,2013,-0.1897403809
195110,Risk Retention-Liab/Prop/WC,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,10,Liability Insurance,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195110-47101,adopted,-308946,2013,-0.6156608451
195110,Risk Retention-Liab/Prop/WC,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,10,Liability Insurance,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195110-49101,adopted,-40000,2013,-0.07971112688
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,45189,Insurance,User Charges,195210-45189,adopted,-481186,2013,-0.9588969574
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195210-47101,adopted,0,2013,0
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195210-49101,adopted,-6500,2013,-0.01295305812
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,49436,Claims Refunds,Other,195210-49436,adopted,-60000,2013,-0.1195666903
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,45188,Workers Compensation,User Charges,195310-45188,adopted,-1500000,2013,-2.989167258
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195310-47101,adopted,0,2013,0
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195310-49101,adopted,-25000,2013,-0.0498194543
197120,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197120-45185,adopted,-860585,2013,-1.714955003
197120,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197120-45186,adopted,-3495613,2013,-6.965981284
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197130-45185,adopted,-3649782,2013,-7.273205902
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197130-45186,adopted,-19191195,2013,-38.24379449
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,197130-47101,adopted,0,2013,0
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,49101,Investment Earnings,Other,197130-49101,adopted,0,2013,0
197135,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197135-45184,adopted,-1684692,2013,-3.357217444
197135,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197135-45186,adopted,-6148835,2013,-12.25326417
197136,Medical - Choice HMO,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197136-45184,adopted,-355515,2013,-0.7084625318
197136,Medical - Choice HMO,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197136-45186,adopted,-147741,2013,-0.2944150399
197140,Medical - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197140-45186,adopted,-3000,2013,-0.005978334516
197141,Dental - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197141-45184,adopted,0,2013,0
197141,Dental - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197141-45186,adopted,0,2013,0
197170,Medicare Supplement,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197170-45185,adopted,-378887,2013,-0.7550377432
197170,Medicare Supplement,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197170-45186,adopted,-268190,2013,-0.5344431779
